Рік,Регіон,Кількість_народжених
2025,АРК*,0.0
2025,Вінницька,7765.0
2025,Волинська,7466.0
2025,Дніпропетровська,12754.0
2025,Донецька**,602.0
2025,Житомирська,6156.0
2025,Закарпатська,8136.0
2025,Запорізька**,2823.0
2025,Івано-Франківська,7501.0
2025,Київська,10294.0
2025,Кіровоградська,3985.0
2025,Луганська**,0.0
2025,Львівська,15872.0
2025,Миколаївська,4365.0
2025,Одеська,11956.0
2025,Полтавська,5560.0
2025,Рівненська,9078.0
2025,Сумська,3199.0
2025,Тернопільська,4899.0
2025,Харківська,7019.0
2025,Херсонська**,366.0
2025,Хмельницька,6211.0
2025,Черкаська,4742.0
2025,Чернівецька,5193.0
2025,Чернігівська,3426.0
2025,м.Київ,19410.0
2025,м. Севастополь*,0.0
2025,Всього,168778.0
2023,Автономна Республіка Крим*,0.0
2023,Вінницька,8823.0
2023,Волинська,8037.0
2023,Дніпропетровська,14433.0
2023,Донецька**,1448.0
2023,Житомирська,6942.0
2023,Закарпатська,9450.0
2023,Запорізька**,3454.0
2023,Івано-Франківська,8163.0
2023,Київська,10820.0
2023,Кіровоградська,4537.0
2023,Луганська*,0.0
2023,Львівська,16638.0
2023,Миколаївська,4827.0
2023,Одеська,13736.0
2023,Полтавська,6324.0
2023,Рівненська,9542.0
2023,Сумська,3998.0
2023,Тернопільська,5467.0
2023,Харківська,7454.0
2023,Херсонська**,452.0
2023,Хмельницька,7189.0
2023,Черкаська,5630.0
2023,Чернівецька,6085.0
2023,Чернігівська,3959.0
2023,м.Київ,19979.0
2023,м. Севастополь*,0.0
2023,ВСЬОГО,187387.0
2022,Автономна Республіка Крим*,0.0
2022,Вінницька,5273.0
2022,Волинська,4167.0
2022,Дніпропетровська,8397.0
2022,Донецька*,1524.0
2022,Житомирська,3366.0
2022,Закарпатська,5495.0
2022,Запорізька,2908.0
2022,Івано-Франківська,4835.0
2022,Київська,4995.0
2022,Кіровоградська,2692.0
2022,Луганська*,495.0
2022,Львівська,9079.0
2022,Миколаївська,2486.0
2022,Одеська,7530.0
2022,Полтавська,3956.0
2022,Рівненська,4971.0
2022,Сумська,2069.0
2022,Тернопільська,3448.0
2022,Харківська,3912.0
2022,Херсонська,2325.0
2022,Хмельницька,4266.0
2022,Черкаська,3386.0
2022,Чернівецька,3681.0
2022,Чернігівська,2058.0
2022,м.Київ,7591.0
2022,м. Севастополь*,0.0
2022,Всього,104905.0
2024,АРК*,0.0
2024,Вінницька,8228.0
2024,Волинська,7422.0
2024,Дніпропетровська,14029.0
2024,Донецька**,1177.0
2024,Житомирська,6367.0
2024,Закарпатська,8657.0
2024,Запорізька**,3176.0
2024,Івано-Франківська,7650.0
2024,Київська,10222.0
2024,Кіровоградська,4191.0
2024,Луганська**,0.0
2024,Львівська,15642.0
2024,Миколаївська,4651.0
2024,Одеська,12578.0
2024,Полтавська,5903.0
2024,Рівненська,9375.0
2024,Сумська,3520.0
2024,Тернопільська,4960.0
2024,Харківська,7677.0
2024,Херсонська**,434.0
2024,Хмельницька,6677.0
2024,Черкаська,4985.0
2024,Чернівецька,5696.0
2024,Чернігівська,3756.0
2024,м.Київ,19706.0
2024,м. Севастополь*,0.0
2024,Всього,176679.0
